Overall	Division	Name	Number	Age	Gender	Category	Time
1	1/7	Noam Elroi, Ryland Hart, Keoni DeFries, Blake Rohrbach, Brendan Miller, Kaaia Kupau	147	Open	male	OC-6 Unlimited	01:10:10.46
2	2/7	Michael Gordon, David A Williams, Raul Pacheco , Anibal C Alfaro, Mark Kasbergen, Charles B. Barrett	26	Open	male	OC-6 Unlimited	01:10:57.68
3	1/12	Ross Flemer, Aimee Spector, Mark Avina , Wes Huston, Mikayla Hart, Elizabeth Ostgaard	154	Open	mixed	OC-6 Unlimited	01:11:19.05
4	3/7	Maika Scott, Kala Diaz, Brent Campbell , Bronson Napoleon, Cody Silvester, Sweet Baby Dave Krueger	133	Open	male	OC-6 Unlimited	01:14:38.56
5	2/12	Scott Bingham, Sema Leng, Susanna Leng, Tyson Poppler, Sarah Poppler, Courtney Hamchuk	9	Open	mixed	OC-6 Unlimited	01:15:00.54
6	1/3	dennis campbell, raylene movius, doug reinika, rhisa gibbs, brian mc carthy, cathy driskol	62	Legends 50+	mixed	OC-6 Unlimited	01:15:15.79
7	3/12	Grace Hardy, Charlsea Ewing, Shannon Dolphin, Eric Holmberg, Tim Silverthorn, Dave Kuniff	109	Open	mixed	OC-6 Unlimited	01:15:37.22
8	4/12	Drew Marsh, Krista marsh, Claudio d’amico, Priscila d’amico, Soleane nunes Guerra, Jose Aurelio gouveia Guerra	74	Open	mixed	OC-6 Unlimited	01:16:26.47
9	4/7	John Parker, Greg Feitt, thomas perez, jessie gonzales, danilo barillas, riley cahoon	167	Open	male	OC-6 Unlimited	01:16:49.37
10	5/12	Nani Kalama, Sarah Craig, Burr Tupper, Derek Callow, Greg Smith, Shawn Alva	164	Open	mixed	OC-6 Unlimited	01:16:56.65
11	1/1	JUSTIN FEESAGO, A, B, C, D, E	219	Legends 60+	male	OC-6 Unlimited	01:18:39.53
12	1/5	Bryan Pesartic, Tevita Moce, Lance Erickson , Steve Lynch, Dave Brozowski, Manny Barela	146	Open	male	OC-6	01:18:59.74
13	1/4	Kelly Thompson, Maddie Spoto, Cora Wolfe, Rell Wolfe, Leanne Stanley, Malia Hohl	108	Open	female	OC-6 Unlimited	01:19:31.81
14	5/7	Daniel Rohrbach, Blake Rohrbach, Ryland Hart, Keoni Defries, noam elroy, Brendon Miller	183	Open	male	OC-6 Unlimited	01:19:57.34
15	1/2	Jim Beck, Dean Precoda, Suhail Khalil, Steve kleinstuber, Scott Penwell, Jeff Fields	174	Legends 50+	male	OC-6	01:20:10.68
16	2/5	Patrick Malpass, Torrance Hopkins, Daniel Puig, Eddie Taylor, Ricardo Roberto, Aaron Olds	50	Open	male	OC-6	01:21:22.46
17	1/13	Michele Willmering, Jen Edwards, Sandy Reyno, Allison Lee, Suzanne Conlon, Julie Shoup	24	Open	female	OC-6	01:21:30.80
